Example 1,,,,,,,,,,
,,,,,,,,,,
Length to be cut,Quantity,,Bars in stock,Quantity,,Bar number,Bar length to be taken from stock,Cuts,Length used,Scrap
1350,2,,3300,10,,1,3000,1350,,
1250,1,,3000,5,,,,950,,
1150,3,,,,,,,450,,
1050,1,,,,,,,250,3000,0
950,1,,,,,2,3000,1350,,
850,2,,,,,,,1050,,
750,2,,,,,,,550,2950,50
650,1,,,,,,3000,1250,,
550,2,,,,,3,,1150,,
450,1,,,,,,,550,2950,50
250,1,,,,,,3000,1150,,
,,,,,,4,,1150,,
,,,,,,,,650,2950,50
,,,,,,,3000,850,,
,,,,,,5,,850,,
,,,,,,,,750,2450,550
,,,,,,6,3000,750,750,2250
,,,,,,Total amount of material used :,18000,,total scrap :,2950
